run_name,val_acc1,train_acc1_epoch,val_acc5,train_acc5_epoch,val_loss
mocov3_mae_exponential_bs64x3_ep20,30.56444549560547,72.45500183105469,55.92222213745117,88.27333068847656,2.9226694107055664
mocov3_baseline_bs64x3_20epochs,30.42888832092285,73.86750030517578,56.58000183105469,88.16999816894531,3.1184117794036865
mocov3_jepa_exponential_bs64x3_ep20,29.893333435058594,74.89749908447266,54.73111343383789,88.30166625976562,2.9054853916168213
selective_curriculum_jepa_bs64x3_ep20_rev,27.220001220703125,67.84833526611328,54.05777740478515,85.39250183105469,3.114699602127075
mae_binary_bs64x3_ep20_rev,26.11111068725586,68.72666931152344,52.05777740478515,86.70916748046875,3.164072275161743
mocov3_jepa_binary_bs64x3_ep20_rev,24.33333396911621,64.57333374023438,50.344444274902344,85.44916534423828,3.104459762573242
mae_binary_bs64x3_ep20,21.211111068725582,64.04166412353516,49.668888092041016,85.38583374023438,3.1902077198028564
jepa_binary_bs64x3_ep20,20.128889083862305,74.00833129882812,46.1511116027832,89.63166809082031,3.647824287414551
selective_curriculum_jepa_bs64x3_ep20_t60,20.040000915527344,73.46833038330078,46.53333282470703,89.51416778564453,3.570718765258789
mocov3-binary_jepa-core50-linear-eval_20epochs,18.84666633605957,60.29999923706055,49.82666778564453,84.18583679199219,3.1687235832214355
mae-exponential-core50-bs3x64-rev,18.504444122314453,55.95000076293945,44.26444625854492,82.0616683959961,3.28405499458313
jepa_exponential_bs64x3_ep10,15.573333740234377,58.11249923706055,41.988887786865234,82.75333404541016,3.538872241973877
mae_exponential_bs64x3_ep10,15.442222595214844,36.0533332824707,41.477779388427734,72.18000030517578,3.3368101119995117
mae_exponential_bs64x3_ep10,15.397777557373049,39.75166702270508,41.18888854980469,73.9124984741211,3.341010808944702
mae_binary_bs64x3_ep10_rev,12.242222785949709,36.54166793823242,34.92000198364258,71.1066665649414,3.546987533569336
selective_curriculum_jepa_bs64x3_ep20_t60,10.871110916137695,42.442501068115234,28.98666763305664,76.35832977294922,3.922137498855591
jepa_binary_bs64x3_ep10,9.677778244018556,20.530834197998047,30.12444496154785,54.51166534423828,3.721255302429199
mocov3_jepa_exponential_bs64x3_ep20_rev,7.917778015136719,26.58333396911621,28.226667404174805,60.64666748046875,3.7744100093841553
jepa_binary_bs64x3_ep10_rev,6.1777777671813965,15.321666717529297,21.79777717590332,45.220001220703125,3.90848445892334
mae_binary_bs64x3_ep10,5.139999866485596,13.338333129882812,20.479999542236328,42.97083282470703,3.860961437225342
jepa_exponential_bs64x3_ep10_rev,2.7933332920074463,3.5966665744781494,11.239999771118164,15.545000076293944,3.909703254699707
